geo,time,GOOGLE_IMPS,LINKEDIN_IMPS,LINKEDINABM_IMPS,DISPLAYABM_IMPS,VIDEOABM_IMPS,AUDIO_IMPS,DISPLAY_IMPS,VIDEO_IMPS,TEADS_IMPS,YOUTUBE_IMPS,CLICKS_GOOGLE,CLICKS_LINKEDIN,CLICKS_LINKEDIN_ABM,CLICKS_ABM_DISPLAY,CLICKS_ABM_VIDEO,CLICKS_AUDIO,CLICKS_DISPLAY,CLICKS_VIDEO,CLICKS_TEADS,CLICKS_YOUTUBE,GOOGLE_SPEND,LINKEDIN_SPEND,LINKEDINABM_SPEND,DISPLAYABM_SPEND,VIDEOABM_SPEND,AUDIO_SPEND,DISPLAY_SPEND,VIDEO_SPEND,TEADS_SPEND,YOUTUBE_SPEND,TOTAL_SPEND,CONVERSIONS_DAY,conversions,REV_PER_CONVERSION
NorthAmerica,2024-03-11,0,18018,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,315,305,100,87
NorthAmerica,2024-03-12,0,16234,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,362,281,89,87
NorthAmerica,2024-03-13,0,15005,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,315,253,79,87
NorthAmerica,2024-03-14,0,13443,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,276,294,78,87
NorthAmerica,2024-03-15,0,12629,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,251,276,76,87
NorthAmerica,2024-03-16,0,9369,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,214,271,68,87
NorthAmerica,2024-03-17,0,6962,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,190,233,50,87
NorthAmerica,2024-03-18,111,17334,0,4,1,0,19288,12241,0,10730,20,48,0,0,0,0,21,23,0,36,110,412,0,88,22,0,1558,88,0,215,2493,52,22,87
NorthAmerica,2024-03-19,682,21702,0,20,0,0,19440,12022,8066,11768,36,100,0,0,0,0,20,12,17,26,198,815,0,439,0,0,1580,88,161,235,3516,63,27,87
NorthAmerica,2024-03-20,756,20624,0,0,0,0,19680,11794,8465,11236,61,128,0,0,0,0,15,5,8,16,336,1037,0,0,0,0,1471,88,169,225,3325,64,29,87
NorthAmerica,2024-03-21,438,13900,0,0,0,0,25050,11809,8074,11676,73,88,0,0,0,0,27,9,13,32,402,681,0,0,0,0,1471,88,161,234,3036,107,52,87
NorthAmerica,2024-03-22,339,25768,0,0,0,0,26280,11432,7636,11424,74,156,0,0,0,0,18,8,10,17,408,1260,0,0,0,0,1515,88,152,228,3651,91,41,87
NorthAmerica,2024-03-23,573,17296,0,0,0,0,24135,11190,7601,11405,72,140,0,0,0,0,11,13,8,12,397,1158,0,0,0,0,1427,88,152,228,3449,53,24,87
NorthAmerica,2024-03-24,572,13271,0,0,0,0,25996,11019,7587,11353,101,84,0,0,0,0,15,13,9,17,557,679,0,0,0,0,1449,88,151,227,3150,58,27,87
NorthAmerica,2024-03-25,720,19892,0,0,0,0,25519,11001,7690,11461,92,128,0,0,0,0,30,10,16,14,507,1008,0,0,0,0,1471,88,153,229,3456,57,25,87
NorthAmerica,2024-03-26,740,21741,0,4,0,0,25351,11268,7511,11526,90,152,0,1,0,0,29,8,10,14,496,1257,0,66,0,0,1602,88,150,231,3890,69,31,87
NorthAmerica,2024-03-27,762,6491,0,0,0,0,23678,11146,7636,11568,99,58,0,0,0,0,13,14,5,12,545,481,0,0,0,0,1493,88,152,231,2991,71,35,87
NorthAmerica,2024-03-28,686,0,0,0,0,0,21131,11270,7754,9991,110,3,0,0,0,0,11,15,8,20,606,21,0,0,0,0,1515,88,155,200,2584,62,33,87
NorthAmerica,2024-03-29,532,0,0,0,0,0,15943,8293,5784,9254,72,0,0,0,0,0,14,12,10,8,397,0,0,0,0,0,1141,66,116,185,1905,47,24,87
NorthAmerica,2024-03-30,750,0,0,0,0,0,23278,11344,7529,10420,117,0,0,0,0,0,24,15,8,16,645,0,0,0,0,0,1383,88,150,208,2474,45,25,87
NorthAmerica,2024-03-31,490,0,0,0,0,0,23376,7963,5527,9799,89,0,0,0,0,0,14,8,10,11,490,0,0,0,0,0,1229,66,110,196,2092,40,22,87
NorthAmerica,2024-04-01,388,0,0,0,0,0,15033,9863,5297,9356,48,0,0,0,0,0,7,17,6,33,264,0,0,0,0,0,1010,66,105,187,1633,42,23,87
NorthAmerica,2024-04-02,0,0,0,0,0,0,14784,7528,6244,8533,0,0,0,0,0,0,15,8,14,10,0,0,0,0,0,0,856,66,125,171,1217,20,14,87
NorthAmerica,2024-04-03,36,0,0,1,0,0,8517,3493,1472,3307,1,0,0,0,0,0,6,0,2,16,6,0,0,22,0,0,746,22,29,66,891,19,10,87
